common常见贴图
sprite_common_activestatus.NPK                              异常状态效果
sprite_map_act4_shallowkeep.NPK                             浅栖之地的背景
sprite_map_act4_underfoot.NPK                               暗黑城地面
sprite_map_act5.NPK                                         万年雪山区域背景
sprite_map_act5_scasalair.NPK                               斯卡萨之巢的背景
sprite_map_act6.NPK                                青面修罗·洛兹贝伦的毒泡
sprite_map_act6_astraythief.NPK                             堕落的盗贼的背景和置物
sprite_map_act6_astraythief_breakableobject.NPK             堕落的盗贼可破坏的置物
sprite_map_act6_bloodbutterfly.NPK                          血蝴蝶之舞的背景
sprite_map_act6_bloodbutterfly_flowertrap.NPK               血蝴蝶之舞的置物
sprite_map_act6_bloodbutterfly_holetrap.NPK                 血蝴蝶之舞的置物
sprite_map_act6_bloodbutterfly_object.NPK                   血蝴蝶之舞的置物
sprite_map_act6_bloodbutterfly_sandtarp.NPK                 血蝴蝶之舞的置物
sprite_map_act6_bloodbutterfly_treetrap.NPK                 血蝴蝶之舞的置物
sprite_map_act6_leshphon.NPK                                痛苦之村的背景
sprite_map_act6_suspicion.NPK                               疑惑之村的背景
sprite_map_act6_suspicion_object.NPK                        疑惑之村的背景和置物
sprite_map_act6_suspicion_object_coalwaggon.NPK             疑惑之村的背景和置物
sprite_map_act6_temptation.NPK                      迷乱之村哈穆林背景和置物
sprite_map_act6_temptation_breakableobject.NPK              迷乱之村哈穆林可破坏置物
sprite_map_act7_antberadd_day.NPK                           追击歼灭战的置物
sprite_map_act7_antberadd_night.NPK                         夜间袭击战的置物
sprite_map_act7_antberadd_tent.NPK                          补给线阻断战的置物
sprite_map_act7_fieldday.NPK                                根特东门的背景和置物
sprite_map_act7_fieldnight.NPK                              根特南门的背景和置物
sprite_map_act7_rampart2.NPK                   根特南门的背景和可破坏置物
sprite_map_act7_rampart.NPK                       根特东门的背景和可破坏置物
sprite_map_act7_rampart_cannon.NPK                          根特的各种坦克车
sprite_map_act7_supplycut.NPK                               补给线阻断战的置物
sprite_map_act8_background.NPK                              海上列车的背景
sprite_map_act8_ghosttrain.NPK                              幽灵列车的背景置物
sprite_map_act8_pirateonthetrain.NPK                        列车上的海贼的置物
sprite_map_act8_seatrainretaking.NPK                        夺回西部线的置物
sprite_map_advancealtar.NPK                        守护者祭坛的背景和置物
sprite_map_alfhlyra.NPK                       阿法利亚城镇的背景和置物
sprite_map_antber.NPK                                       追击歼灭战的背景
sprite_map_arden.npk                           决战之都阿登高地的背景和置物
sprite_map_breakableobject.NPK                              各种可破坏的置物
sprite_map_breakableobject_actiontree.NPK                   冰树
sprite_map_breakableobject_actiontreerenew.NPK              格兰之森的树
sprite_map_breakableobject_charnakridge.NPK                 哥布林投石车
sprite_map_breakableobject_eventbarrier.NPK                 栅栏
sprite_map_breakableobject_fairy.NPK                        补给精灵和BUFF
sprite_map_breakableobject_grenselos.NPK              格林赛罗斯战场的可破坏置物
sprite_map_breakableobject_magmacave.NPK                    熔岩穴的可破坏置物
sprite_map_breakableobject_seagrass.NPK                     天空之城的海草
sprite_map_breakableobject_skycastle.NPK                    天空之城的可破坏置物
sprite_map_breakableobject_stonepillar.NPK                  格兰之森的石柱
sprite_map_breakableobject_underfoot.NPK                    暗黑城的可破坏置物
sprite_map_cartelcommand.NPK                                   卡勒特指挥部背景
sprite_map_cartelcommand_bridge.NPK                 卡勒特指挥部的桥
sprite_map_chaos.NPK                                      某门
sprite_map_chaostest.NPK                                   暗黑城D地
sprite_map_chn_pvp_chn_park.NPK                   PK场新地图
sprite_map_chn_pvp_chn_studio.NPK                   PK场新地图
sprite_map_church.NPK                                    教堂
sprite_map_cutscene.NPK                         城镇地图的切换画面和副本进入画面
sprite_map_dimentiongate.NPK                    暗黑城异次元裂缝门口背景
sprite_map_dimentiongate_bakalcastle.npk                    巴卡尔之城的背景和置物
sprite_map_dimentiongate_blackearth_background.npk          黑暗大地的背景
sprite_map_dimentiongate_blackearth_gate.npk                黑暗大地的副本门
sprite_map_dimentiongate_blackearth_object.npk              黑暗大地的置物
sprite_map_dimentiongate_blackearth_tile.npk                黑暗大地的地面
sprite_map_dimentiongate_cosmofiend.npk                     虚无之境的背景和置物
sprite_map_disguiser.NPK                          阴深的地图
sprite_map_elvengard.npk                               艾尔文防线的背景和置物
sprite_map_event.NPK                                        2009年国庆旗子
sprite_map_event_2008sinhan.NPK                            某活动-韩服
sprite_map_event_2008xmas.NPK                               圣诞节的赛丽亚房间
sprite_map_event_2009gmarket.NPK                           韩服活动
sprite_map_event_2009newyear.NPK                            DNF三周年蛋糕垫底
sprite_map_event_2010cokacola.npk                           韩服活动
sprite_map_event_2010SoloDay.NPK               DNF2010光棍节凯丽强化打折横幅
sprite_map_event_2010sonye.npk                              韩服活动
sprite_map_event_2011_event_dungeon.NPK                     人偶工厂
sprite_map_event_2011child.npk                              韩服活动
sprite_map_event_2011christmas.npk                         韩服活动
sprite_map_event_2011summer.npk                            韩服活动
sprite_map_event_bluemarble.NPK                            韩服活动
sprite_map_event_c_event.NPK                                抉择之泽的气球
sprite_map_event_chn_3th_birthday_firework.NPK              DNF三周年时旅馆的烟火
sprite_map_event_chn_4th_birthday_firework.npk              DNF四周年时旅馆的烟火
sprite_map_event_chn_2011_heart_of_jarbro_banner.NPK        三倍袖珍罐的旗子
sprite_map_event_chn_2012_christmas.NPK                         圣诞树
sprite_map_event_chn_20130108_ddayevent.NPK                时空之门倒计时
sprite_map_event_chn_dday_innovation.NPK          2012年6月第三季革新倒计时的旅馆
sprite_map_event_chn_dday_ready85_2013.NPK                   开放85级倒计时
sprite_map_event_chn_eco_energy_event.NPK                       某活动绿化机
sprite_map_event_chn_get_acc_2012.NPK                        冬日首饰
sprite_map_event_chn_golden_event_npc_2013.NPK          凿福胖胖的雕像
sprite_map_event_chn_golden_fruittree_2012.NPK           扔树
sprite_map_event_chn_lunar_new_year.NPK                     DNF春节旅馆装饰
sprite_map_event_chn_ria_letter_2013.NPK                          给哥哥的信
sprite_map_event_chn_timegate_2013.NPK           2013 1月时空之门扔石头活动
sprite_map_event_chn_toy.NPK                                人偶工厂副本门
sprite_map_event_chn_upgrade_discount_2013.NPK             强化打折
sprite_map_event_dnf5thyear.npk                             韩服五周年时旅馆的烟火
sprite_map_event_dnf6thyear.npk                             韩服六周年时旅馆的烟火
sprite_map_event_halloween.NPK                              DNF万圣节旅馆
sprite_map_event_j_event.npk                                韩服活动
sprite_map_event_superschool.NPK                            韩服活动
sprite_map_gent.NPK                                         根特城镇的背景和置物
sprite_map_goblinkingdom.NPK                                哥布林王国的置物
sprite_map_grenselos.NPK                                    格林赛罗斯战场的背景
sprite_map_guildagit.NPK                                  貌似赛丽亚间房
sprite_map_haze.npk                             雾都赫伊斯的背景和置物
sprite_map_hellmap.NPK                         深渊恶魔的背景（远景）   
sprite_map_hendonmyre.NPK                       赫顿玛尔城镇的背景和置物
sprite_map_hendonmyre_pvp.NPK                    决斗场练习模式的背景
sprite_map_larguslake_obj.NPK                           女鬼剑士开场地图
sprite_map_larguslake_tile.NPK                     女鬼剑士开场地图的地
sprite_map_lufthafen.NPK                                    鲁夫特悬空海港的背景
sprite_map_minimap.NPK                                      小地图
sprite_map_mission_obj.NPK                              奇遇任务-宝箱
sprite_map_mission_tile.NPK                             赛丽亚的财富~~~
sprite_map_new_event_dnfrider_obj.NPK                      活动
sprite_map_new_event_dnfrider_tile.NPK                      活动
sprite_map_new_event_dual_obj.NPK                              根特皇宫外
sprite_map_new_event_dual_obj_boss.NPK                       吉赛尔的袭击
sprite_map_new_event_dual_tile.NPK                              根特皇宫外的地
sprite_map_new_event_dual_tile_boss.NPK                       吉赛尔的袭击的地
sprite_map_new_event_zombi.NPK                              生化禁区
sprite_map_npc.NPK                                          NPC站街时的外观
sprite_map_pathgate.NPK                                     格兰之森区域的副本门
sprite_map_pathgate_abnoba_blackstone.NPK                        黑石监狱的副本门
sprite_map_pathgate_abnoba_redstone.NPK                 红石监狱的副本门
sprite_map_pathgate_abnoba_rollingstone.NPK              乱党监狱的副本门
sprite_map_pathgate_act2.NPK                                天空之城区域的副本门
sprite_map_pathgate_act3.NPK                                天帷巨兽区域的副本门
sprite_map_pathgate_act3_gbl_breeding.npk                   树精繁殖地的副本门
sprite_map_pathgate_act4.NPK                                暗黑城区域的副本门
sprite_map_pathgate_act5.NPK                                万年雪山区域的副本门
sprite_map_pathgate_act5_coldboy.NPK                        冰心的某块石头
sprite_map_pathgate_act6.NPK                                堕落的盗贼的副本门
sprite_map_pathgate_act6_bloodbutterfly.NPK                 血蝴蝶之舞的副本门
sprite_map_pathgate_act6_leshphon.NPK                       痛苦之村的副本门
sprite_map_pathgate_act6_suspicion.NPK                      疑惑之村的副本门
sprite_map_pathgate_act6_temptation.NPK                     迷乱之村哈穆林的副本门
sprite_map_pathgate_act7_dayfield.NPK                       追击歼灭战的副本门
sprite_map_pathgate_act7_nightfield.NPK                     夜间袭击战的副本门
sprite_map_pathgate_act7_rampart2.NPK                       根特南门的副本门
sprite_map_pathgate_act7_rampart.NPK                        根特东门的副本门
sprite_map_pathgate_act7_supplycut.NPK                      补给线阻断战的副本门
sprite_map_pathgate_act8_arden.npk             决战之都阿登高地的副本门
sprite_map_pathgate_act8_cartelcommand.NPK          卡勒特指挥部副本门
sprite_map_pathgate_act8_ghosttrain.NPK                    幽灵列车的副本门
sprite_map_pathgate_act8_haze.npk                           雾都赫尔斯的副本门
sprite_map_pathgate_act8_pirateonthetrain.NPK               列车上的海贼的副本门
sprite_map_pathgate_act8_seatrainretaking.NPK               夺回西部线的副本门
sprite_map_pathgate_act8_testtrain.NPK                      幽灵列车的副本门
sprite_map_pathgate_citywar_elvengardsf.NPK           艾尔文防线袭击战的副本门
sprite_map_pathgate_citywar_hendonmyresf.NPK                赫顿玛尔街市战的副本门
sprite_map_pathgate_dimensiongate.NPK                       虚无之境的副本门
sprite_map_pathgate_event_twin.NPK               吉赛尔的袭击的副本门
sprite_map_pathgate_event_zombi.NPK                              生化禁区的副本门
sprite_map_pathgate_gbosstower.NPK                          领主之塔的副本门
sprite_map_pathgate_golden_road.NPK               吉赛尔的袭击防线
sprite_map_pathgate_helldungeon.NPK                         深渊恶魔的柱子
srite_map_pathgate_powerstation.NPK                         能源中心副本门
sprite_map_pathgate_timegate.NPK                                时空之门副本门
sprite_map_pathgate_towerofbloodyfight.NPK                  无尽的祭坛的副本门
sprite_map_pathgate_towerofdespair.npk                      绝望之塔的副本门
sprite_map_pathgate_town_cartelarad.NPK                     陌路者要塞的副本门
sprite_map_pathgate_town_gblarad.NPK                        堕落之殿的副本门
sprite_map_pathgate_town_grim.NPK                           南部溪谷的副本门
sprite_map_pathgate_town_moonlightpub.NPK                   月光酒吧的副本门
sprite_map_powerstation.NPK                                      永远是空的
sprite_map_powerstation_fruz_station.NPK                             永远是空的
sprite_map_powerstation_fruz_station_background.NPK                 普鲁兹发电站
sprite_map_powerstation_fruz_station_obj.NPK                   普鲁兹发电站
sprite_map_powerstation_fruz_station_tile.NPK                            普鲁兹发电站
sprite_map_powerstation_grandine_background.NPK                       格兰迪发电站
sprite_map_powerstation_grandine_obj.NPK                       格兰迪发电站
sprite_map_powerstation_grandine_tile.NPK                          格兰迪发电站
sprite_map_powerstation_kohlepowerstation_background.NPK              科雷发电站
sprite_map_powerstation_kohlepowerstation_obj.NPK                     科雷发电站
sprite_map_powerstation_kohlepowerstation_tile.NPK                  科雷发电站
sprite_map_powerstation_trombe_background.NPK                         特仑斯发电站
sprite_map_powerstation_trombe_obj.NPK                              特仑斯发电站
sprite_map_powerstation_trombe_tile.NPK                            特仑斯发电站
sprite_map_pvp.NPK                                             新版PK场
sprite_map_realskycastle.NPK                                蠕动之城的背景和置物
sprite_map_requiem.NPK                                     时空之门远景
sprite_map_sainthorn.NPK                                        圣魂船
sprite_map_shonan.npk                                虚祖首都素喃的背景和置物
sprite_map_shonan_tournament.npk               青龙大会黄龙大会的背景和置物
sprite_map_slough.NPK                              斯曼工业基地的背景
sprite_map_stormpass.NPK                      斯顿雪域城镇的背景和置物
sprite_map_timegate.NPK                                     时空之门的沙漏
prite_map_timegate_beginning.NPK                            凛冬背景
sprite_map_timegate_black_church.NPK                          暗黑圣战背景
sprite_map_timegate_conflagration.NPK                             格兰之火背景
sprite_map_timegate_consciousness.NPK                                迷之觉悟背景
sprite_map_timegate_epidemic.NPK                                    瘟疫之地背景
sprite_map_timegate_formacartel.NPK                         卡勒特之初背景
sprite_map_timegate_oldscreamingcave.NPK                     昔日悲鸣的背景
sprite_map_timegate_oldscreamingcave_far.NPK                     昔日悲鸣的背景
sprite_map_timegate_oldscreamingcave_obj.NPK                     昔日悲鸣的背景
sprite_map_timegate_oldscreamingcave_tile.NPK                   昔日悲鸣的地
sprite_map_timegate_timegate.NPK                           时空之门某东西
sprite_map_timegate_topsecretarea.NPK               绝密区域背景
sprite_map_timegatearea.NPK                                时空之门背景
sprite_map_timegaterequiem.NPK                      时空之门背景
sprite_map_title.NPK                              城镇中地图切换和进副本时的标题 
sprite_map_title_towerofdespair.npk                         绝望之塔每层的横幅
sprite_map_towers_deadtower.NPK                             死亡之塔背景和置物
sprite_map_towers_gbosstower.NPK                            领主之塔背景和置物
sprite_map_towers_illusiontower.NPK                         迷惘之塔背景和置物
sprite_map_towers_towerofbloodyfight.NPK                    无尽的祭坛背景置物
sprite_map_towers_towerofbloodyfight_tile.NPK               无尽的祭坛脚下地图
sprite_map_towers_towerofdespair_downstairs.NPK         绝望之塔上方的背景和置物
sprite_map_towers_towerofdespair_upstairs.NPK               绝望之塔下方的背景和置物
sprite_map_towers_towerofultimate.NPK                        极限祭坛背景和置物
sprite_map_trap.NPK                                 毒沼和悲鸣草一类的陷阱置物
sprite_map_trap_eyeofobserver.NPK                           暗影迷宫的某眼睛
sprite_map_trap_goblinbunker.NPK                            哥布林碉堡
sprite_map_trap_grenselosbunker.NPK                         格林赛罗斯战场的碉堡
sprite_map_village.NPK                              堕落之殿副本的可破坏置物
sprite_map_village_aganzo.NPK                               月光酒馆的背景
sprite_map_village_bwanga.NPK                  布万加的修炼场的背景和置物
sprite_map_village_cartel_object.NPK                        绿都格罗兹尼的置物
sprite_map_village_cartel_object_groznyinside.NPK           绿都格罗兹尼的置物
sprite_map_village_cartel_object_groznyoutside.NPK          绿都格罗兹尼的背景
sprite_map_village_cartel_object_odesa.NPK                  热血八番街的背景和置物
sprite_map_village_cartel_tile.NPK                          绿都格罗兹尼的背景
sprite_map_village_cartel_westcoast.NPK                     坦克碉堡
sprite_map_village_church.NPK                               教堂
sprite_map_village_grim.NPK                         街头争霸排名和未知地图
sprite_map_village_grim_new_image_new_teil.NPK              未知地图
sprite_map_village_grim_new_image_objcet.NPK                未知地图
sprite_map_village_grim_new_image_old_teil.NPK              未知地图
sprite_map_warfare.npk                                      武斗大会的背景

monster怪兽
sprite_monster.NPK                                          怪物相关标记和头像
sprite_monster_2013snake.NPK                                      2013年金蛇
sprite_monster_abnova.NPK                        女鬼剑士救赛丽亚的图和监狱的怪
sprite_monster_abnova_blackkobolt.NPK                             黑石监狱的怪
sprite_monster_abnova_dalgur.NPK                      红石监狱的怪
sprite_monster_abnova_firetroll.NPK                        红石监狱的怪
sprite_monster_abnova_kobolt.NPK                                       监狱的怪
sprite_monster_abnova_koboltkeeper.NPK                             监狱的怪
sprite_monster_abnova_lion.NPK                               监狱的怪
sprite_monster_abnova_named_kavika.NPK                            监狱的怪
sprite_monster_abnova_steel_orc.NPK                                监狱的猪怪
sprite_monster_abnova_stone_orc.NPK                          监狱的猪怪
sprite_monster_abnova_waterkobolt.NPK                                 监狱的怪
sprite_monster_act8_bigghost_flu.NPK                        巨灵布鲁
sprite_monster_act8_chiefsars.NPK                           恶灵众
sprite_monster_act8_chiefsars_crow.NPK                      恶灵乌鸦
sprite_monster_act8_chiefsars_die.NPK                       恶灵雾团
sprite_monster_act8_chiefsars_missile.NPK                   恶灵机长
sprite_monster_act8_chiefsars_soultornado.NPK               恶灵特效
sprite_monster_act8_congcong.NPK                            小美人鱼空空伊
sprite_monster_act8_crokhan.NPK                             鳄鱼众
sprite_monster_act8_dark_ghost.NPK                          黑暗恶灵
sprite_monster_act8_mermadia.NPK                            人鱼众
sprite_monster_act8_merman.NPK                              鱼人众
sprite_monster_act8_turtle.NPK                              海龟众
sprite_monster_act8_wooden_doll.NPK                         木质木偶众
sprite_monster_act8_zombie_marine.NPK                       僵尸冲锋队员
sprite_monster_advancealtar.NPK                             守护者祭坛的怪物
sprite_monster_advanceatlar.NPK                             祭坛的怪物
sprite_monster_airsword.npk                                某APC、会射线！
sprite_monster_albert.npk                                   阿尔伯特
sprite_monster_ancient.NPK                      暴戾搜捕团祭司众和暗精灵僵尸众
sprite_monster_ant.NPK                                      蚂蚁众
sprite_monster_apc.npk                             有只狗（式神玄武）有把图腾
sprite_monster_apc_sand_doll.npk                          沙怪
sprite_monster_arad.NPK                                     堕落之殿的一些人形怪
sprite_monster_babydragon.NPK                               斯卡萨幼龙和弗利特
sprite_monster_bantu.NPK                                    班图众
sprite_monster_bantu_beastmaster.NPK                        驯兽师鲁乌格
sprite_monster_bee.NPK                                      蜜蜂众
sprite_monster_black_church.NPK                           暗黑圣战D怪
sprite_monster_blood_an_agaress.NPK                         祭坛死神阿加雷斯
sprite_monster_blood_an_chariot.NPK                         地狱哥布林战车
sprite_monster_blood_an_propeller.NPK                       地狱哥布林直升机
sprite_monster_bloodmoon_zetes.NPK                          祭坛骑士泽忒斯
sprite_monster_bloodybutterfly_bloodybutterfly.NPK          血蝴蝶众
sprite_monster_bloodybutterfly_mosqueen.NPK                 诺丝克尔
sprite_monster_bwanga.NPK                                   布万加
sprite_monster_cartel.NPK                                   有关卡特勒组织的怪物
sprite_monster_cartel_cypher.NPK                            魔雷麦瑟·莫纳亨
sprite_monster_cartel_launcher.NPK                          火箭炮塔
sprite_monster_cartel_mafia.NPK                             棍子男众
sprite_monster_cartel_nife_clraes.NPK                       奈普·克拉斯
sprite_monster_cartel_rocketman.NPK                         火箭侠
sprite_monster_cartel_smokegranade.NPK                      瓦斯
sprite_monster_cartelcommand.NPK                        卡勒特指挥部D贴图
sprite_monster_casillas_appear.NPK                          召唤 - 卡西亚斯出现效果
sprite_monster_casillas_body.NPK                            召唤 - 卡西亚斯身体
sprite_monster_casillas_moveslash.NPK               召唤 - 卡西亚斯必杀剑千鬼杀
sprite_monster_casillas_slash.NPK                           召唤 - 卡西亚斯攻击特效
sprite_monster_casillas_swordrain.NPK             召唤 - 卡西亚斯必杀剑地狱图
sprite_monster_championbreak.NPK                       一个球在闪
sprite_monster_characterstatue.NPK                          角色雕像
sprite_monster_characterstatue_passiveobject.NPK            伪·角色雕像
sprite_Monster_cocoon.NPK                                   罗特斯的卵
sprite_monster_coldboy.NPK                                  查理
sprite_monster_coldheart.NPK                                冰之心
sprite_monster_common.NPK                  强化怪的特效、肉块、怪物死亡时的闪光
sprite_monster_conveyer.NPK                                 人偶工厂的置物
sprite_monster_cosmofiend.NPK                               深渊恶魔众
sprite_monster_cosmofiend_sealedgate.NPK                    深渊恶魔的封印柱子
sprite_monster_crimebuffalo_crimebuffaloartifacter.NPK      罪恶布法罗盗掘团安佩特
sprite_monster_crimebuffalo_crimebuffalogeneral.NPK         罪恶布法罗盗掘团队长
sprite_monster_crimebuffalo_crimebuffalonormal.NPK          罪恶布法罗盗掘团士兵
sprite_monster_crimebuffalo_equipment.NPK                   罪恶布法罗盗掘团的装备
sprite_monster_crimebuffalo_grim_crimebuffal.NPK            罪恶布法罗盗掘
sprite_monster_crimebuffalo_grim_crimebuffalogeneral.NPK    悲鸣盗墓王
sprite_monster_crimebuffalo_resurrectioneffect.NPK      罪恶布法罗盗掘团队长复活特效
sprite_monster_crimebuffalo_treasurenamed.NPK               盗墓者卢瑟
sprite_monster_cyclops.NPK                                  独眼巨人
sprite_monster_darkelf.NPK                      暗精灵众（包括三个大块头）
sprite_monster_dendroid.NPK                                 树精众
sprite_monster_despair.npk                                某APC
sprite_monster_direzie.NPK                                  狄瑞吉
sprite_monster_disguiser.NPK                                不灭的伪装者
sprite_monster_disguiser_lightning.NPK                      伪装者的闪电
sprite_monster_dog.NPK                                      狗狗众
sprite_monster_dollmaster.NPK                               人偶师众
sprite_monster_dollmaster_masterdogridollcontrol.NPK        人偶王的控制技能
sprite_monster_draconian.NPK                                龙人
sprite_monster_dragonknight.NPK                             祭坛蜥蜴众
sprite_monster_drake.NPK                                    邪龙皮兹
sprite_monster_eltis.npk                                    机械
sprite_monster_event_2012_thxgiving.NPK                       某活动：黑色的稻草人
sprite_monster_event_bus.NPK                                韩服活动
sprite_monster_event_chn_destroy_dungeon_object.NPK                    泰拉遗迹活动
sprite_monster_event_chn_golden_egg.NPK                     金蛋
sprite_monster_event_chn_golden_goblin_junior.NPK           活动哥布林
sprite_monster_event_clown.npk                              韩服活动
sprite_monster_event_cricket.NPK                            韩服活动
sprite_monster_event_j_farmer.npk                         韩服活动
sprite_monster_event_kinggoldenhorn.NPK                     金角大王、银角大王
sprite_monster_event_present_box.NPK                        韩服活动
sprite_monster_event_seria.npk                             韩服变身赛利亚活动
sprite_monster_event_seria_beeswax.npk                      蜂蜜蜡烛攻击
sprite_monster_event_seria_bind.npk                         变身魔盒
sprite_monster_event_seria_kaleido.npk                      百变魔盒
sprite_monster_event_seria_key.npk                          魔力钥匙攻击
sprite_monster_event_seria_mega.npk                         韩服活动
sprite_monster_event_seria_remi.npk                         雷米庇佑
sprite_monster_event_seria_running.npk                      赛利亚移动特效
sprite_monster_event_seria_scream.npk                       恐惧尖叫攻击
sprite_monster_event_seria_serabox.npk                      商场衣箱攻击
sprite_monster_event_seria_seriaguard.npk                   魔力护罩
sprite_monster_event_seriea.NPK                             幽灵赛利亚
sprite_monster_event_seriea_mega.npk                        音乐盒攻击
sprite_monster_event_sheep_wolf.npk                         披着羊皮的狼
sprite_monster_event_zombie.NPK                            生化禁区的僵尸
sprite_monster_eventbak.NPK                               韩服活动
sprite_monster_eventgoblin.NPK                              特殊哥布林
sprite_monster_evileye.NPK                                  罪恶之眼
sprite_monster_flydragon.NPK                                翼龙
sprite_monster_flydragon_passiveobject.NPK                  蓝翼龙的冰球
sprite_monster_gbl_breeding.npk                             树精繁殖地的怪物
sprite_monster_gbl_goddess_temple.npk                       GBL教女神殿的怪物
sprite_monster_ghoul.NPK                                    食尸鬼众
sprite_monster_goblin.NPK                                   哥布林众
sprite_monster_goblin_effect.NPK                            变身哥布林攻击特效
sprite_monster_goblin_equipment.NPK                         哥布林的装备
sprite_monster_goblin_event.NPK                             普通哥布林和活动哥布林
sprite_monster_goblin_golgo.NPK               哥布林王和逆袭之谷BOSS
sprite_monster_goblin_passiveobject.NPK                     哥布林投掷道具
sprite_monster_goblin_skycastle.NPK                         空中投掷的哥布林
sprite_monster_goblin_skycastle_equipment.NPK               空中投掷的哥布林装备
sprite_monster_golem.NPK                                    石巨人众
sprite_monster_golem_equipment.NPK                          石巨人的零件
sprite_monster_golem_particle.NPK                           石巨人的碎片
sprite_monster_golem_passiveobject.NPK                      石巨人的飞行道具
sprite_monster_grim.NPK                                     未知怪物
sprite_monster_grim_effect.NPK                              未知怪物的攻击特效
sprite_monster_gunner_exs.NPK                               Ex-S毒蛇炮
sprite_monster_gunner_ez8.NPK                               EZ-8自爆者
sprite_monster_gunner_ez8ex.NPK                              Ez-10反击者
sprite_monster_gunner_fightingspirit.NPK                   斗志之歌
sprite_monster_gunner_firerx78.NPK                          红色破坏者
sprite_monster_gunner_headingrx78.NPK                   钢铁机器人
sprite_monster_gunner_healrx78.NPK                        修复者格莱/神力雷克斯
sprite_monster_gunner_rx78.NPK                              RX-78追击者
sprite_monster_gunner_tempester.NPK                         空战机械：风暴
sprite_monster_gunner_tempesterat.NPK                       空战机械：狂风
sprite_monster_haze.npk                                     雾都赫尔斯的怪物
sprite_monster_headlessknight.NPK                           无头骑士
sprite_monster_heaven_captain_berhik.NPK                    前锋队长波西克
sprite_monster_heaven_captainshured.NPK                     机动队长苏雷德
sprite_monster_heaven_dorian.NPK                            巨枪多里安
sprite_monster_heaven_gt9600.NPK                            GT-9600
sprite_monster_heaven_letsburn_bentinck.NPK                 纵火犯本汀克
sprite_monster_heaven_mechanicgiselle.NPK                   机械师吉赛尔
sprite_monster_heaven_silverman.NPK                         夜间袭击战的怪物
sprite_monster_heaven_silversmallman.NPK                    感叹号
sprite_monster_heaven_specialforce.NPK                      卡特勒机动队
sprite_monster_heaven_vulcherspecialforce.NPK               辅修师斯佩特
sprite_monster_hunter.NPK                                   夜叉众
sprite_monster_hunter_passiveobject.NPK                     艾力斯的痰
sprite_monster_icetiger.NPK                                 寒冰虎
sprite_monster_impossible_bakal.npk                巴卡尔之城的怪物和攻击特效
sprite_monster_impossible_blackearth.npk                    黑暗大地的怪物和攻击特效
sprite_monster_impossible_blackearth_dark_column.npk        奥兹玛的混沌攻击特效
sprite_monster_impossible_blackearth_fear_effect.npk        恐惧之手
sprite_monster_impossible_blackearth_howling_pain.npk       奥兹玛的混沌之柱攻击特效
sprite_monster_impossible_blackearth_icon.npk      被奥兹玛变成怪物时可使用的技能图标
sprite_monster_impossible_blackearth_spaceescape.npk        选择
sprite_monster_impossible_cosmofiend.npk               异界之缝的怪物和攻击特效
sprite_monster_impossible_goblin.NPK                        哥布林王国的哥布林装备
sprite_monster_iris.NPK                                              艾丽丝咯
sprite_monster_laowu.npk                                    圣眼暴击拳
sprite_monster_larguslake.NPK                            女鬼剑士开场地图的怪
sprite_monster_larguslake_atswordman.NPK         女鬼剑士的一套时装
sprite_monster_leshphon.NPK                     痛苦之村列瑟芬怪物和怪物的特效
sprite_monster_leshphon_fire_effect.NPK           痛苦之村列瑟芬怪物死亡时的火焰特效
sprite_monster_lizardman.NPK                                 蠕动之城真假蜥蜴
sprite_monster_lordoflight.NPK                              光之城主赛格哈特
sprite_monster_lotus.NPK                                    长脚罗特斯
sprite_monster_lugaru.NPK                                   猫妖众
sprite_monster_lugaru_ciel_attribute.NPK                    善变猫妖的属性选择
sprite_monster_lugaru_equipment.NPK                         猫妖的装备
sprite_monster_machine_ball.npk                            某球
sprite_monster_magma.NPK                            熔岩穴的怪物和3SB的身体
sprite_monster_magma_equipment_atlas.NPK                    阿特拉斯的零件
sprite_monster_magma_equipment_goliath.NPK                  歌利亚的零件
sprite_monster_magma_equipment_incomplete.NPK               残缺的歌利亚的零件
sprite_monster_magma_equipment_titan.NPK                    泰坦的零件
sprite_monster_magma_magmasacrificerbig.NPK                 天上掉火球
sprite_monster_magma_oilsellerolek.NPK                      油桶希洛克
sprite_monster_medeia.NPK                                   梅迪亚
sprite_monster_militiaman.NPK                               暗精灵民兵
sprite_monster_mimic.NPK                                    食人宝箱
sprite_monster_mission.NPK                           奇遇任务-外星人
sprite_monster_mj.NPK                                       MJ
sprite_monster_monsterflower.NPK                            召唤 - 魔界花袄索
sprite_monster_mouseheadsue.NPK                             鼠头人西乌
sprite_monster_nugol.NPK                                    戮蛊众
sprite_monster_oldscreamingcave.NPK                  昔日悲鸣的怪
sprite_monster_peterthepiper.NPK                            魔笛使者皮特和老鼠众
sprite_monster_power_station.NPK                         闪电
sprite_monster_power_station_furz_station.NPK         萨缪尔和普鲁兹发电站的怪
sprite_monster_power_station_grandine_station.NPK        虚空之弗曼和格兰迪发电站的怪
sprite_monster_power_station_kohlepowerstation.NPK                 永远是空的
sprite_monster_power_station_kohlepowerstation_fire_slime.NPK       燃烧的史莱姆
sprite_monster_power_station_kohlepowerstation_fitz.NPK             业火之菲茨
sprite_monster_power_station_kohlepowerstation_fitz_archer.NPK           业火之菲茨
sprite_monster_power_station_kohlepowerstation_fitz_other_self.NPK           业火之菲茨
